name,value,year,lastValue,rank
QTUM,7.010144,2017.10,9.673050,21
ZRX,6.913470,2018.05,2.772833,35
SC,6.867539,2018.03,8.811954,44
BNB,6.867509,2018.12,12.521523,6
ICX,6.821891,2018.07,10.781528,34
ZRX,6.820823,2018.06,6.913470,35
MKR,6.797675,2019.03,2.774273,15
DOGE,6.778343,2018.10,5.797694,23
VERI,6.760767,2018.02,7.689131,89
BCN,6.739147,2017.06,0.398596,21
ETH,6.715873,2016.12,9.202370,1
WAVES,6.677590,2018.03,6.202020,20
KCS,6.626734,2018.01,0.427813,44
BCN,6.597788,2018.07,11.691922,39
BTM,6.560461,2018.06,9.618868,51
ETH,6.557488,2016.03,1.872009,1
ZRX,6.535389,2018.02,4.272314,32
XMR,6.490387,2017.08,6.299990,9
STEEM,6.444927,2018.06,10.304256,37
REP,6.424385,2018.02,8.741887,30
MKR,6.423201,2018.05,3.118718,14
PIVX,6.421606,2018.01,2.447666,66
XMR,6.409090,2017.06,3.317005,6
DGB,6.344565,2018.01,0.733319,32
LSK,6.331007,2018.07,9.983690,29
LTC,6.311355,2014.01,5.952642,2
XMR,6.299990,2017.07,6.409090,7
MKR,6.276805,2018.03,7.098677,14
NXT,6.268874,2018.01,3.664072,95
DASH,6.266482,2017.05,4.110191,7
ZEC,6.250384,2018.10,8.405774,20
STRAT,6.248713,2017.09,5.483320,36
DOGE,6.217266,2018.03,5.057971,21
WAVES,6.202020,2018.02,13.349800,20
WTC,6.172383,2018.02,2.854725,66
XVG,6.134137,2018.06,12.129543,48
LSK,6.125659,2017.10,7.504789,24
OMG,6.124760,2017.11,9.042946,24
WAVES,6.111300,2017.12,3.186430,20
ZEC,6.096491,2018.11,6.250384,20
OMG,6.093074,2018.09,7.785878,26
KCS,6.071790,2018.02,6.626734,47
AE,6.056016,2018.02,3.222976,42
XEM,6.042541,2019.01,7.011276,19
SNT,6.039266,2018.02,11.012886,50
DOGE,6.025192,2018.05,3.184656,22
ETC,6.008391,2017.05,2.388545,9
BTS,6.000382,2018.03,8.251690,36
ZEC,5.959721,2017.10,5.331184,17
BTS,5.902698,2018.06,9.876572,40
DASH,5.852012,2019.02,7.179070,14
ETC,5.831945,2019.01,5.485925,18
STRAT,5.830437,2017.12,2.840878,44
DCR,5.821994,2018.05,2.945324,28
GNT,5.819194,2018.05,1.734848,57
MONA,5.801669,2018.01,3.895517,82
DOGE,5.797694,2018.09,3.403877,22
STRAT,5.788792,2017.07,8.543373,29
VET,5.774502,2018.11,7.205622,21
QTUM,5.745624,2018.08,8.140582,25
NEO,5.732739,2019.03,4.699443,17
LTC,5.684397,2014.02,6.311355,2
ZIL,5.665639,2018.07,8.767489,31
SNT,5.638842,2018.05,3.216170,56
BAT,5.633000,2018.01,1.692210,22
NANO,5.622998,2018.06,11.389970,41
BTS,5.564109,2017.07,2.356583,24
DCR,5.531680,2018.03,5.363678,26
ZEC,5.530829,2017.11,5.959721,18
ADA,5.523996,2017.11,6.288991,10
HC,5.512920,2018.05,2.469543,69
DGD,5.493780,2018.05,4.624700,99
AE,5.490755,2018.03,6.056016,42
ETC,5.485925,2018.12,9.665351,18
STRAT,5.483320,2017.08,5.788792,33
LRC,5.426128,2018.05,2.107269,71
IOST,5.404165,2018.05,1.938208,52
SC,5.378246,2018.06,9.549148,49
DCR,5.363678,2018.02,7.019407,26
SNT,5.353395,2018.03,6.039266,50
ARDR,5.347894,2018.02,18.372300,55
ZEC,5.331184,2017.09,3.548997,16
FCT,5.278404,2018.01,1.961780,56
GBYTE,5.250830,2018.01,1.585162,100
NEO,5.249701,2019.01,5.173545,17
WAVES,5.234290,2017.09,3.509130,17
AION,5.219233,2018.05,2.406726,83
PPT,5.200753,2017.12,1.346630,47
GNT,5.194824,2018.06,5.819194,57
NEO,5.173545,2018.12,10.506600,17
ZRX,5.143425,2018.08,5.070591,35
LSK,5.138097,2018.09,4.731350,29
ZRX,5.070591,2018.07,6.820823,35
DOGE,5.057971,2018.02,10.297974,21
DCR,5.045145,2018.07,7.321957,28
REQ,5.021458,2018.01,0.431629,108
BTG,5.016933,2018.07,7.728341,24
OMG,4.993185,2018.10,6.093074,27
MAID,4.984095,2018.01,2.274248,58
REP,4.970559,2018.03,6.424385,30
WAN,4.967777,2018.06,9.330369,82
ELF,4.961950,2018.05,1.306607,77
AE,4.958699,2018.07,8.457431,47
EOS,4.957109,2017.11,2.497667,4
LSK,4.947864,2017.11,6.125659,26
WTC,4.927474,2018.03,6.172383,66
DGB,4.925079,2018.05,1.810490,36
BAT,4.913640,2018.05,1.993570,23
HC,4.909432,2018.02,11.132401,63
BTM,4.886163,2018.04,3.885375,50
MKR,4.869446,2018.06,6.423201,14
WAVES,4.850450,2017.10,5.234290,18
ZRX,4.842250,2018.03,6.535389,32
WTC,4.818054,2018.05,2.496814,72
XZC,4.788451,2018.01,1.355694,67
BCD,4.749258,2018.06,8.515045,43
LSK,4.731350,2018.08,6.331007,29
BTG,4.723826,2018.11,4.398248,26
NEO,4.699443,2019.02,5.249701,17
ZEC,4.686533,2017.07,3.477608,13
PPT,4.681823,2018.06,8.879893,58
XEM,4.664619,2017.05,1.447740,10
ETC,4.652343,2019.03,4.323778,18
DGD,4.624700,2018.04,9.865880,96
BCN,4.611035,2018.08,6.597788,39
KNC,4.590665,2018.01,1.445655,70
ONT,4.583971,2018.09,3.630876,15
KNC,4.580685,2018.02,4.590665,75
XLM,4.579525,2017.11,2.150123,7
POWR,4.556151,2018.01,2.464832,68
BCN,4.549125,2018.09,4.611035,39
OMG,4.549042,2018.11,4.993185,28
ZIL,4.544613,2018.08,5.665639,31
KMD,4.542723,2018.02,10.831845,41
MKR,4.537944,2018.11,3.608390,14
WAVES,4.526110,2017.06,0.622300,12
USDT,4.525137,2017.11,4.378046,8
STRAT,4.485489,2018.06,7.526776,54
REP,4.480652,2018.06,4.324595,32
GAS,4.478654,2018.02,2.989305,100
ETN,4.458586,2018.03,4.289628,61
PAY,4.442768,2018.01,2.452832,89
DRGN,4.442611,2018.02,6.085601,112
ARK,4.438493,2018.02,7.712901,56
ZRX,4.422590,2018.11,3.439075,37
DOGE,4.408125,2018.11,6.778343,23
BTG,4.407293,2018.08,5.016933,24
BTG,4.398248,2018.10,3.684289,25
PPT,4.390676,2018.04,7.820320,57
STEEM,4.381439,2018.07,6.444927,37
USDT,4.378046,2017.10,3.501490,8
DCR,4.368179,2018.08,5.045145,28
STEEM,4.342265,2018.04,10.783563,36
REP,4.324595,2018.05,2.814955,32
ETC,4.323778,2019.02,5.831945,18
WAVES,4.316420,2018.06,7.464370,21
ARDR,4.307076,2017.12,2.460306,50
LRC,4.293348,2018.02,1.396064,65
ETN,4.289628,2018.02,4.333224,61
VERI,4.282108,2018.03,6.760767,91
BTS,4.279019,2018.08,4.211604,40
KMD,4.278835,2018.03,4.542723,41
ZRX,4.272314,2018.01,1.056090,31
ZRX,4.271458,2018.09,5.143425,35
QTUM,4.266280,2018.09,5.745624,25
ZEC,4.246997,2018.12,6.096491,21
XRP,4.234734,2015.02,7.533403,1
ARDR,4.233720,2018.05,2.368898,61
BTS,4.211604,2018.07,5.902698,40
SYS,4.211227,2018.01,1.693433,85
BCN,4.178685,2018.10,4.549125,40
KMD,4.178409,2018.05,2.770333,46
BAT,4.162060,2018.02,5.633000,22
DGB,4.143289,2018.02,6.344565,33
DASH,4.110191,2017.04,3.027895,7
BTM,4.092603,2018.07,6.560461,51
DOGE,4.080893,2018.06,6.025192,22
XVG,4.067420,2018.07,6.134137,48
XRP,4.063339,2014.12,1.352180,1
BAT,4.056790,2018.03,4.162060,22
NEO,4.054325,2017.08,4.047595,12
NEO,4.047595,2017.07,0.675970,10
ARK,4.045121,2018.03,4.438493,56
AE,4.039223,2018.08,4.958699,47
HC,4.035437,2018.03,4.909432,63
REP,4.034976,2018.07,4.480652,32
BCN,4.024122,2018.04,7.966582,38
BCN,4.023403,2017.07,6.739147,23
SC,3.997761,2018.07,5.378246,49
GNT,3.997049,2017.06,1.847148,29
ARDR,3.986957,2018.03,5.347894,55
NANO,3.985243,2018.09,2.221422,41
EOS,3.985235,2017.09,4.581174,4
ELF,3.970275,2018.02,2.628650,69
NAS,3.968793,2018.05,1.748503,89
ICX,3.946298,2018.08,6.821891,34
LTC,3.907955,2017.04,1.962907,3
MKR,3.903773,2018.08,3.507923,14
GNT,3.898865,2017.07,3.997049,31
IOST,3.897760,2018.06,5.404165,52
MONA,3.895517,2017.12,1.481167,76
