name,value,year,lastValue,rank
ICX,2021.925254,2018.02,2450.731463,31
EOS,2014.198808,2017.12,495.710880,4
LTC,2002.705712,2018.12,3028.256022,3
LTC,2000.859669,2019.01,2002.705712,3
XMR,1997.437586,2018.08,2274.505681,11
MIOTA,1981.226949,2018.09,2468.264584,12
QTUM,1980.055475,2018.05,1273.721340,25
XEM,1977.471000,2017.08,1433.799000,14
PPT,1974.212940,2018.02,1653.217808,52
XMR,1972.847418,2018.09,1997.437586,11
LSK,1967.181369,2018.03,2519.644210,27
MIOTA,1933.293950,2017.09,795.268086,10
QTUM,1927.718993,2018.03,2234.942874,24
XMR,1922.595949,2018.10,1972.847418,11
ETC,1910.381453,2017.09,1390.349151,14
USDT,1908.446134,2019.01,1853.398856,8
OMG,1889.389276,2018.03,1352.267896,25
BTG,1882.502841,2018.03,1851.899714,23
ADA,1881.885303,2018.11,2139.639274,10
XMR,1875.445761,2017.09,649.038678,9
NEO,1854.586500,2018.08,2338.674000,16
USDT,1853.398856,2018.12,1764.876771,8
BTG,1851.899714,2018.02,4638.801962,23
XEM,1838.961000,2018.07,2373.165000,18
ARDR,1837.230001,2018.01,430.707643,52
NEO,1837.050000,2017.10,1586.090000,14
USDT,1764.876771,2018.11,2805.694872,8
DASH,1762.071640,2018.09,1745.499628,13
OMG,1759.519720,2018.05,893.143761,26
XMR,1749.491460,2018.11,1922.595949,11
DASH,1745.499628,2018.08,2039.978302,13
TRX,1740.803993,2019.02,1347.509926,9
ZEC,1734.205360,2018.01,905.636070,19
ETC,1709.547690,2018.07,1613.762675,17
ETH,1701.011948,2017.03,957.731836,1
ICX,1693.955151,2018.05,820.750732,34
TRX,1681.284412,2018.09,2073.603394,9
BNB,1675.716941,2019.03,890.238048,6
BNB,1674.091926,2018.06,1643.243757,6
ETC,1668.372644,2017.07,1603.286449,11
XLM,1666.445145,2017.12,457.952496,7
BSV,1664.647783,2019.01,1754.285184,11
BNB,1661.650022,2018.07,1674.091926,6
